;features_changes_themes;features_changes_keywords
1317;ide,language;python,variables
1325;;
1332;editor;(tab|code|auto)-?\s?complet(e|ion),lint(ing|er)s?
1333;integration,version_control;(source|version) (control|tracking|management),integrat(e|ion),version(ing)?(\snotebooks)?,pandoc
1334;language,compatibility,integration,version_control;(source|version) (control|tracking|management),integrat(e|ion),version(ing)?(\snotebooks)?,compatib(ility|le),python
1335;editor;keyboard|short-?cuts?
1342;version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?
1343;dissemination,ide,ux,language;language,presentations?,workspace|ide($|\W)|rstudio,navigat(e|ion|ing)
1347;ux;(window|pane|sidebar|screen|width|height),navigat(e|ion|ing)
1354;;
1355;integration,ux;integrat(e|ion),(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
1356;ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
1359;editor;keyboard|short-?cuts?
1360;ux;collaps(e|ing|ible)
1363;ux;g?ui($|\W),(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
1364;;
1366;ux,language;collaps(e|ing|ible),language
1368;content_management,ux;file(\s)?system,(folders?|director(y|ies)),fold(ing)?(.*cells)?
1369;cli;console
1375;editor,dissemination;export,(tab|code|auto)-?\s?complet(e|ion),PDF($|\W)
1378;hosting,dissemination,editor,ux;multi(ple|-)?\s?user,vim?($|\W)|sublime|atom|emacs,keyboard|short-?cuts?,undo,interact(ion|ive|ity)
1379;editor,content_management,ux;(text|code) edit(or|ing),collaps(e|ing|ible),search
1381;ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
1382;hosting;multi(ple|-)?\s?user
1384;language,dissemination,ide,integration,version_control;integrat(e|ion),knitr,git(hub)?,workspace|ide($|\W)|rstudio,R($|\W)
1389;visualization,ux;g?ui($|\W),visualization
1390;dissemination,version_control;reus(e|able),git(hub)?
1393;collab,version_control;git(hub)?,collaborat(ion|ive|ing)
1400;integration;integrat(e|ion)
1408;ux;(moving|reordering) cells
1409;hosting;multi(ple|-)?\s?user
1415;;
1417;integration,language;integrat(e|ion),R($|\W)
1419;version_control,dissemination,documentation,language;language,download,git(hub)?,doc(s|umentation)?($|\W)
1420;editor,ide,ux;keyboard|short-?cuts?,workspace|ide($|\W)|rstudio,click(ing)?,hid(e|ing|den)
1425;;
1426;ide,ux;workspace|ide($|\W)|rstudio,hid(e|ing|den),navigat(e|ion|ing)
1427;ide,ux;progress bar,variables
1428;dissemination,ux;drag,hid(e|ing) (code|cells|input),drop,hid(e|ing|den)
1431;hosting,ux;multi(ple|-)?\s?user,sections
1432;dissemination,ide,ux;export,toggle,workspace|ide($|\W)|rstudio,hid(e|ing|den)
1434;collab,version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?,collaborat(ion|ive|ing)
1441;editor,integration,version_control;integrat(e|ion),git(hub)?,diffs?($|\W)
1450;language,content_management,ide,integration,version_control;(source|version) (control|tracking|management),python,packages,version(ing)?(\snotebooks)?,debug,search
1453;collab,version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?,collaborat(ion|ive|ing)
1454;dissemination;dashboards?
1456;content_management,integration;integrat(e|ion),search
1458;integration,ux;matplotlib,(menus?|icons?|buttons?|tooltips?),navigat(e|ion|ing)
1460;;
1463;ide;workspace|ide($|\W)|rstudio
1464;ide,performance,ux;g?ui($|\W),performance,workspace|ide($|\W)|rstudio
1466;version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?
1468;;
1469;ux;sections,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
1470;integration,ux;matplotlib,(window|pane|sidebar|screen|width|height)
1472;hosting,language;users,language
1476;editor,version_control;(better|powerful|external) edit(or|ing),version(ing)?(\snotebooks)?
1477;dissemination,content_management,language;javascript,import,nbconvert
1478;hosting;multi(ple|-)?\s?user
1479;;
1480;hosting,visualization,integration;multi(ple|-)?\s?user,d3,integrat(e|ion),jupyter(\s)?hub
1481;documentation,content_management,language;language,file(\s)?system,doc(s|umentation)?($|\W)
1484;editor;keyboard|short-?cuts?
1487;hosting,editor,integration,version_control;multi(ple|-)?\s?user,integrat(e|ion),(text|code) edit(or|ing),git(hub)?
1490;version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?
1493;cli,ux,language;copy/paste,python,(multiple|groups of|individual) cells,command line,R($|\W),paste,language
1494;;
1503;dissemination,ux;sections,publish(ing)?,hid(e|ing|den)
1504;dissemination,ide,ux;hid(e|ing) (code|cells|input),undo,workspace|ide($|\W)|rstudio,hid(e|ing|den),(menus?|icons?|buttons?|tooltips?)
1507;editor;vim?($|\W)|sublime|atom|emacs
1512;cli;cli($|\W)
1515;hosting,dissemination,documentation,collab;deployment,jupyter(\s)?hub,collaborat(ion|ive|ing),doc(s|umentation)?($|\W)
1517;editor,cli;(text|code) edit(or|ing),terminal
1518;compatibility,version_control;compatib(ility|le),git(hub)?
1520;;
1524;hosting,dissemination;cloud,report(ing)?
1525;;
1527;;
1530;dissemination,content_management,ide,ux;hid(e|ing) (code|cells|input),presentations?,workspace|ide($|\W)|rstudio,hid(e|ing|den),(toc|table of contents)
1534;documentation,compatibility,ux,version_control;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),git(hub)?,compatib(ility|le),doc(s|umentation)?($|\W)
1541;integration,collab,version_control;integrat(e|ion),git(hub)?,collaborat(ion|ive|ing)
1551;content_management,ux;g?ui($|\W),import,dialog
1556;ux;todo
1557;content_management,collab,language;file (manager|browser),collaborat(ion|ive|ing),language
1559;editor,ux,version_control;(text|code) edit(or|ing),paste,version(ing)?(\snotebooks)?
1562;editor,integration,ux;integrat(e|ion),keyboard|short-?cuts?,mobile
1563;;
1564;editor,ux;(better|powerful|external) edit(or|ing),navigat(e|ion|ing)
1573;ux;hid(e|ing|den),collaps(e|ing|ible),all cells
1575;cli,integration,ux,version_control;(source|version) (control|tracking|management),integrat(e|ion),wordpress,version(ing)?(\snotebooks)?,git(hub)?,terminal,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),(window|pane|sidebar|screen|width|height)
1583;integration,version_control;integrat(e|ion),git(hub)?
1587;dissemination,ux;export,presentations?,navigat(e|ion|ing)
1590;dissemination,ux,version_control,hosting,documentation,integration;instructions?,integrat(e|ion),install,git(hub)?,click(ing)?,nbviewer
1594;visualization,ux;drag,widgets,drop
1595;content_management;search
1598;version_control;git(hub)?
1600;hosting,dissemination,visualization,integration,ux;g?ui($|\W),integrat(e|ion),deployment,jupyter(\s)?hub,visualization,click(ing)?
1601;editor;(text|code) edit(or|ing)
1603;dissemination;slides(how)?,slides?
1604;hosting,documentation,visualization,ux;tmpnb,tutorials?,scrol(ling)?,jupyter(\s)?hub,visualization,(window|pane|sidebar|screen|width|height)
1606;editor,ide;vim?($|\W)|sublime|atom|emacs,workspace|ide($|\W)|rstudio
1609;dissemination,ide,ux;hid(e|ing) (code|cells|input),workspace|ide($|\W)|rstudio,hid(e|ing|den),dashboards?
1611;hosting,dissemination;multi(ple|-)?\s?user,deployment,users
1616;hosting,dissemination,ux,version_control;(menus?|icons?|buttons?|tooltips?),cloud,git(hub)?,sharing,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),click(ing)?
1618;collab;collaborat(ion|ive|ing)
1622;ux;(multiple|groups of|individual) cells
1623;dissemination,content_management,ux;g?ui($|\W),file (manager|browser),dashboards?
1626;;
1630;ide,ux;click(ing)?,variable (explorer|viewer),(menus?|icons?|buttons?|tooltips?)
1637;;
1639;editor,ux;parenthes(e|i)s,(multiple|groups of|individual) cells
1644;dissemination,ide,ux;g?ui($|\W),hid(e|ing) (code|cells|input),workspace|ide($|\W)|rstudio,hid(e|ing|den),debug
1645;dissemination,ide,cli,ux;console,profil(er|ing),interact(ion|ive|ity),debug,(window|pane|sidebar|screen|width|height)
1650;ux,version_control;version(ing)?(\snotebooks)?,(window|pane|sidebar|screen|width|height)
1654;;
1657;editor,integration;matplotlib,(text|code) edit(or|ing),vim?($|\W)|sublime|atom|emacs,keyboard|short-?cuts?
1661;content_management;file(\s)?system
1662;hosting,dissemination,visualization,content_management,integration;integrat(e|ion),(apache\s)?spark,import,cluster,interact(ion|ive|ity),visualization
1668;ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),(menus?|icons?|buttons?|tooltips?)
1681;dissemination,ide,integration,ux;integrat(e|ion),hid(e|ing) (code|cells|input),(apache\s)?spark,workspace|ide($|\W)|rstudio,hid(e|ing|den)
1683;hosting,dissemination;export,multi(ple|-)?\s?user
1686;editor,ux;syntax,collaps(e|ing|ible)
1690;editor;(text|code) edit(or|ing)
1691;documentation,collab,ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),collaborat(ion|ive|ing),doc(s|umentation)?($|\W)
1693;ux;fold(ing)?(.*cells)?
1694;ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),collaps(e|ing|ible)
1695;ide,version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?,git(hub)?,variable (explorer|viewer)
1700;editor,ux,version_control;(source|version) (control|tracking|management),g?ui($|\W),version(ing)?(\snotebooks)?,keyboard|short-?cuts?,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
1702;ux;(menus?|icons?|buttons?|tooltips?)
